Timestamp,Milliseconds,X,Y,Z
5/23/2020 13:17,2,-1.3667755,5.986679,8.086151
5/23/2020 13:17,12,-1.1716461,5.8645782,8.348328
5/23/2020 13:17,22,-0.68862915,5.6449127,8.1184845
5/23/2020 13:17,33,-0.64971924,5.6999817,7.7384033
5/23/2020 13:17,42,-0.7377014,5.8927,7.124878
5/23/2020 13:17,53,-0.8400574,6.0010376,6.813034
5/23/2020 13:17,62,-0.91007996,6.0303802,6.8651123
5/23/2020 13:17,72,-0.90530396,6.021393,7.1937103
5/23/2020 13:17,83,-0.7766113,5.9178467,7.7982483
5/23/2020 13:17,92,-0.6874237,5.816696,8.117874
5/23/2020 13:17,102,-0.5964508,5.7203217,8.304031
5/23/2020 13:17,113,-0.50128174,5.6119843,8.373459
5/23/2020 13:17,122,-0.46237183,5.563507,8.344131
5/23/2020 13:17,133,-0.5288086,5.579071,8.254944
5/23/2020 13:17,142,-0.6730652,5.622757,8.037674
5/23/2020 13:17,152,-0.7742157,5.662857,7.9018097
5/23/2020 13:17,163,-0.82748413,5.690399,7.7790985
5/23/2020 13:17,172,-0.7885742,5.6652527,7.721039
5/23/2020 13:17,183,-0.66348267,5.621567,7.7431946
5/23/2020 13:17,193,-0.5982361,5.5928345,7.8257904
5/23/2020 13:17,202,-0.5713043,5.5892487,8.014923
5/23/2020 13:17,212,-0.6006317,5.6203613,8.161575
5/23/2020 13:17,223,-0.5784912,5.6407166,8.10112
5/23/2020 13:17,232,-0.5940552,5.6281433,8.043655
5/23/2020 13:17,243,-0.6616821,5.6173706,7.8820496
5/23/2020 13:17,252,-0.7837982,5.6915894,7.8114166
5/23/2020 13:17,262,-0.8544159,5.761032,7.6917114
5/23/2020 13:17,272,-0.8071289,5.7394714,7.598938
5/23/2020 13:17,283,-0.7137604,5.745468,7.5139465
5/23/2020 13:17,292,-0.7047882,5.7634277,7.5265045
5/23/2020 13:17,303,-0.70777893,5.785568,7.591751
5/23/2020 13:17,313,-0.6545105,5.784973,7.7036896
5/23/2020 13:17,322,-0.6281738,5.7724,7.7557526
5/23/2020 13:17,333,-0.6191864,5.7275085,7.8227997
5/23/2020 13:17,342,-0.7353058,5.757431,7.8186035
5/23/2020 13:17,354,-0.7927704,5.757431,7.859909
5/23/2020 13:17,362,-0.7945709,5.732895,7.852722
5/23/2020 13:17,373,-0.771225,5.713745,7.8030396
5/23/2020 13:17,383,-0.69940186,5.7191315,7.733017
5/23/2020 13:17,392,-0.71195984,5.761032,7.679138
5/23/2020 13:17,403,-0.7191467,5.863983,7.571396
5/23/2020 13:17,412,-0.7382965,5.880142,7.497177
5/23/2020 13:17,422,-0.802948,5.902878,7.461273
5/23/2020 13:17,433,-0.8628082,5.9292145,7.4187775
5/23/2020 13:17,442,-0.96635437,5.9657288,7.3732758
5/23/2020 13:17,452,-0.95558167,5.97171,7.337967
5/23/2020 13:17,463,-0.85861206,5.947174,7.4073944
5/23/2020 13:17,472,-0.8238983,5.9328156,7.402008
5/23/2020 13:17,483,-0.84783936,5.954956,7.35054
5/23/2020 13:17,494,-0.9436035,6.053116,7.2703247
